,LR_R² Score,LR_MAE,LR_RMSE,RF_R² Score,RF_MAE,RF_RMSE,XGB_R² Score,XGB_MAE,XGB_RMSE
Finland,-0.4141,0.2018,0.2426,0.8926,0.0639,0.0669,0.959,0.0359,0.0413
Denmark,-4.2043,0.1116,0.1255,0.7357,0.0282,0.0283,0.7084,0.0297,0.0297
Iceland,0.2507,0.0227,0.0242,0.7039,0.0151,0.0152,0.9772,0.0041,0.0042
Switzerland,-1735.8312,0.0625,0.0625,-3841.8397,0.0788,0.093,-16363.3657,0.1439,0.1919
Norway,0.5033,0.0463,0.0469,0.8301,0.0233,0.0274,-0.5334,0.0772,0.0823
Netherlands,-4.7577,0.0859,0.0912,-0.6167,0.0421,0.0483,0.2619,0.0318,0.0326
Sweden,0.7618,0.0192,0.0227,0.7406,0.0237,0.0237,0.2821,0.0363,0.0394
New Zealand,0.4692,0.0428,0.0488,0.8223,0.0248,0.0282,0.2124,0.0563,0.0595
Canada,0.8107,0.0814,0.0824,0.8447,0.0711,0.0747,0.8661,0.0691,0.0694
Australia,0.4126,0.0571,0.0579,0.8034,0.0296,0.0335,-0.0782,0.0775,0.0784
